[2020-05-06 16:31:13]toilet_output.py(45): > Start setup...
[2020-05-06 16:31:13]toilet_output.py(56): > Finish setup...
[2020-05-06 16:31:13]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:14]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:15]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:16]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:17]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:18]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:19]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:20]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:21]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:22]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:23]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:31:24]toilet_output.py(99): > use_toilet_length: 0
